00:0c:e6:0a:08:6c,-51,50
00:0c:e6:0a:57:47,-76.6,75.3
74:03:bd:ab:64:80,-80,10
90:72:40:10:c9:e4,-80.75,-74
bc:5c:4c:30:0f:e2,-83.6667,5.3334
c0:25:a2:89:60:1b,-85,2
fa:8f:ca:9e:0c:b5,-81.6667,25.3334
00:26:87:0d:b4:8a,-88.5,4.5
64:a5:c3:66:0a:ac,-70.5,3.5
64:a5:c3:66:0a:ad,-79,14
88:1f:a1:2f:2d:64,-84.5,4.5
4c:e6:76:56:bb:30,-80.8,19.7
4c:e6:76:c2:6b:d6,-81.25,16.9167
4c:e6:76:c2:6e:3c,-83.3334,4.3334
24:a2:e1:ec:79:c6,-81.8334,9.3667
06:26:87:0d:b4:8a,-87,2
dc:fb:02:91:6c:15,-87.3334,1.4667
dc:fb:02:91:6c:10,-79,7.2
dc:fb:02:29:23:c0,-82.1667,15.7667
00:19:e3:fa:51:de,-84.8334,0.5667
90:84:0d:df:47:c7,-85.6667,11.8667
4c:e6:76:c3:5d:48,-80.1667,2.1667
10:6f:3f:87:a2:3e,-82.8,9.2
06:3a:9d:a8:ab:c7,-85,2
1c:b1:7f:00:ee:7b,-84,2.8
1e:b1:7f:00:ee:7b,-86,2.8
1c:b1:7f:00:ee:7a,-78.8,14.7
1e:b1:7f:00:ee:7a,-77.3334,3.4667
1c:b1:7f:38:c3:73,-84.5,1.5
1e:b1:7f:38:c3:73,-86.5,1.1
1c:b1:7f:38:c3:72,-79.6667,17.4667
1e:b1:7f:38:c3:72,-77.5,9.5
10:6f:3f:ac:c5:bc,-86.2,17.7
00:0c:e6:0a:99:ff,-84.6667,0.3334
00:0c:e6:0a:b0:cf,-71.3334,7.4667
00:0c:e6:0a:d6:4e,-60.3334,32.2667
00:0c:e6:0a:6e:d6,-86.5,0.5
00:0c:e6:0a:aa:f5,-69.6667,9.8667
00:0c:e6:0a:c7:b7,-57,16.4
dc:fb:02:ab:f9:b5,-87,2
dc:fb:02:ab:f9:b0,-79.5,24.3
00:0c:e6:0a:5e:9d,-72,5.2
00:0c:e6:0a:9e:f7,-85.25,0.25
00:0c:e6:0a:b7:ff,-59.1667,27.3667
00:01:8e:e6:89:9c,-85.6,1.3
00:01:8e:e6:89:9e,-85,0.6667
00:01:8e:3f:84:90,-80.4,3.3
00:01:8e:3f:84:91,-80.3334,2.3334
00:3a:9d:a8:ab:c6,-76.3334,15.0667
00:a0:b0:c4:91:1d,-75.5,15.5
00:a0:b0:c4:91:1c,-73.6,4.3
00:e0:4c:81:98:02,-87.5,0.5
c0:25:a2:89:60:1a,-79.5,16.7
88:57:ee:7d:1a:00,-88.5,0.5
