00:0c:e6:0a:08:6c,-42.383,79.6328
00:0c:e6:0a:3b:3a,-66.9768,2.5471
00:0c:e6:0a:44:4a,-64,0.001
00:0c:e6:0a:5e:9d,-53.1207,39.3361
00:0c:e6:0a:94:8d,-69,0.001
00:0c:e6:0a:aa:f5,-51.9483,17.1728
00:0c:e6:0a:b0:cf,-50.7759,18.9489
00:0c:e6:0a:b7:ff,-47.6667,90.5834
00:0c:e6:0a:c7:b7,-40.6492,30.6247
00:0c:e6:0a:d5:1a,-67,0.001
00:0c:e6:0a:d6:4e,-45.7193,97.027
1c:b1:7f:38:c3:72,-68.8036,14.7789
4c:e6:76:56:bb:30,-61,0.001
4c:e6:76:c3:5d:49,-65,0.001
88:57:ee:7d:1a:00,-69,0.001
dc:fb:02:91:6c:10,-65.4822,2.7634
