BSSID,•½‹Ï,•ªŽU
00:01:8e:3f:84:90,-74.75,4.01119403
00:01:8e:3f:84:91,-74.03278689,4.598907104
00:01:8e:3f:84:92,-88.7,0.957894737
00:01:8e:e6:89:9c,-78,5.414634146
00:01:8e:e6:89:9e,-78.20512821,8.377867746
00:0c:e6:0a:08:6c,-55.95238095,50.49769585
00:0c:e6:0a:3b:3a,-61.82222222,14.05858586
00:0c:e6:0a:44:4a,-62.60465116,10.2923588
00:0c:e6:0a:57:47,-75.11764706,94.67251975
00:0c:e6:0a:5e:9d,-66.46753247,10.80485304
00:0c:e6:0a:6e:d6,-78.53333333,1.507344633
00:0c:e6:0a:94:8d,-61.86046512,11.88482835
00:0c:e6:0a:99:ff,-78.453125,3.902529762
00:0c:e6:0a:9e:f7,-79.22535211,6.491348089
00:0c:e6:0a:aa:f5,-63.37662338,18.44839371
00:0c:e6:0a:b0:cf,-64.15584416,14.00170882
00:0c:e6:0a:b7:ff,-54.55844156,28.38140807
00:0c:e6:0a:c7:b7,-57.03896104,33.03793575
00:0c:e6:0a:d5:1a,-67.6,67.2
00:0c:e6:0a:d6:4e,-56.01298701,38.43403964
00:0c:e6:0a:f5:3c,-78.51428571,1.789648033
00:19:e3:fa:51:de,-83.32467532,2.880041012
00:3a:9d:a8:ab:c6,-69.81818182,5.966507177
00:3a:9d:a8:ab:c7,-86.32432432,1.016660496
00:a0:b0:c4:91:1c,-71.27272727,2.516746411
00:a0:b0:c4:91:1d,-71.02597403,1.736158578
00:e0:4c:81:98:02,-87,0
06:3a:9d:a8:ab:c7,-86.50666667,2.901981982
10:6f:3f:3d:5f:0a,-80.58139535,6.011074197
10:6f:3f:87:a2:3e,-74.43939394,2.865501166
10:6f:3f:87:a2:3f,-88.59615385,1.500377074
1c:b1:7f:00:ee:7a,-69.83116883,7.484278879
1c:b1:7f:00:ee:7b,-75.22077922,7.93745728
1c:b1:7f:38:c3:72,-81.7260274,12.11834094
1c:b1:7f:38:c3:73,-84.04545455,1.021141649
1c:b1:7f:38:c3:76,-82.71875,21.75705645
1e:b1:7f:00:ee:7a,-69.46753247,7.646958305
1e:b1:7f:00:ee:7b,-77.36363636,12.52392344
1e:b1:7f:38:c3:72,-80.77777778,5.668231612
1e:b1:7f:38:c3:73,-86.43181818,1.041754757
1e:b1:7f:38:c3:76,-83.71875,9.111895161
24:a2:e1:ec:79:c6,-77.2826087,14.07391304
4c:e6:76:4f:14:e2,-80,0
4c:e6:76:56:bb:30,-64.37662338,5.132604238
4c:e6:76:c3:5d:48,-66,6.236842105
4c:e6:76:c3:5d:49,-79.31168831,7.691045796
64:a5:c3:65:c6:0a,-74,0
64:a5:c3:65:c6:0b,-84.76470588,0.191176471
64:a5:c3:66:0a:ac,-74.01333333,9.013333333
74:03:bd:ab:64:80,-68.90322581,13.69032258
88:1f:a1:2f:2d:64,-78,13.4516129
88:57:ee:7d:1a:00,-77.64473684,5.165438596
88:57:ee:7d:1a:07,-88.4,0.884210526
88:57:ee:8a:53:d8,-70.47368421,7.132631579
90:72:40:10:c9:e4,-73.90740741,4.085604472
90:72:40:10:c9:e5,-87.38571429,1.167908903
90:84:0d:df:47:c7,-81.96774194,2.032258065
a6:12:42:0b:95:9f,-73.67105263,5.557017544
bc:5c:4c:30:0f:e2,-71.91666667,4.253623188
c0:25:a2:35:b4:f2,-90,0
c0:25:a2:89:60:1a,-74.10869565,3.299033816
c0:25:a2:89:60:1b,-79.82432432,5.050907071
c2:25:a2:ce:b2:12,-67.94805195,14.91831852
c6:25:a2:ce:b2:12,-67.97402597,18.57826384
dc:fb:02:29:23:c0,-74.94202899,9.761295823
dc:fb:02:91:6c:10,-82.2,8.234482759
dc:fb:02:91:6c:15,-86.81818182,0.653409091
dc:fb:02:ab:f9:b0,-75.68085106,6.482886216
dc:fb:02:ab:f9:b5,-86.7037037,2.13960114
de:fb:02:29:23:c4,-74.89552239,3.307100859
fa:8f:ca:9e:0c:b5,-71.28571429,45.75824176
fc:3f:7c:8c:b6:19,-83.625,1.125
